time,branch1_seg0,branch2_seg0
0.4,-3.09411868937,-3.82966920563
0.42,-0.0032772848773,-0.0578101543307
0.44,9.83693689558,12.2366666925
0.46,9.16017229766,11.1329396961
0.48,1.1359104223,0.767752106895
0.5,0.322167327032,-0.343409206114
0.52,6.8830332064,7.91660001044
0.54,8.77440549488,10.2174110184
0.56,3.7937418742,3.82113909218
0.58,1.36797847356,0.738692070326
0.6,5.04571176448,5.42938695432
0.62,7.69852903693,8.79617166958
0.64,5.14971675862,5.55975929751
0.66,2.49924490858,2.23279552546
0.68,4.09194555164,4.31404800868
0.7000000000000001,6.53056895473,7.4506156585
0.72,5.62982993593,6.33224776811
0.74,3.43982183403,3.59052341481
0.76,3.75549042274,4.04276493936
0.78,5.58726348179,6.40497928053
0.8,5.63345655982,6.47910309064
0.8200000000000001,4.12211151195,4.57408542765
0.84,3.79895802648,4.18349227474
0.86,4.97557067765,5.68717810717
0.88,5.44989680626,6.2802930017
0.9,4.57323897192,5.15056785269
0.92,4.03484857461,4.45280118344
0.9400000000000001,4.67154612732,5.24277965615
0.96,5.24573178293,5.94091858961
0.98,4.84759503066,5.39734805555
1.0,4.32929959878,4.70312020786
1.02,4.58988752699,4.99857424022
1.04,5.09102456125,5.59408234695
1.06,4.99674998598,5.42956340174
1.08,4.59872463404,4.88190987846
1.1,4.6346527278,4.88919939963
1.12,4.99750802765,5.31158004565
1.1400000000000001,5.06163151065,5.35378438972
1.16,4.80239903555,4.98841606541
1.18,4.72854570198,4.86348941314
1.2,4.95164165429,5.11836410934
1.22,5.07381105593,5.2460648444
1.24,4.93197489687,5.04123034394
1.26,4.823432695,4.88312895352
1.28,4.93556126376,5.00849680346
1.3,5.05804412883,5.14839933714
1.32,4.99938186289,5.05999747546
1.34,4.89801517186,4.92029429269
1.36,4.9362088246,4.96025310273
1.3800000000000001,5.03328387899,5.07588739863
1.4000000000000001,5.02529166732,5.05865174824
1.42,4.94923424975,4.95625248789
1.44,4.94654689365,4.94825531459
1.46,5.01247231628,5.02758871117
1.48,5.03020557093,5.04537756577
1.5,4.98282208383,4.98052176812
1.52,4.96329727148,4.95130623442
1.54,5.00236185189,4.99621859623
1.56,5.02928667834,5.02496736791
1.58,5.00619959051,4.98966622169
1.6,4.98439347767,4.95577988489
1.62,5.00422479435,4.97439041227
1.6400000000000001,5.0308253031,5.00091309163
1.6600000000000001,5.02478413688,4.98540665386
1.68,5.00761989636,4.95552439718
1.7,5.01553645354,4.9572967657
1.72,5.0373047308,4.97631040375
1.74,5.04115631148,4.97226290618
1.76,5.03051369551,4.94976156368
1.78,5.03204550753,4.94281403971
1.8,5.04768689898,4.95381326643
1.82,5.05580615818,4.95528722296
1.84,5.05089158533,4.94039704958
1.86,5.04966811296,4.93051787345
1.8800000000000001,5.05963998093,4.93515776151
1.9000000000000001,5.06837961648,4.93849377242
1.92,5.0674629774,4.92989672589
1.94,5.06556314048,4.92047148538
1.96,5.07115511418,4.92096714236
1.98,5.07862966242,4.92419760918
2.0,5.08000674409,4.92002965032
